Price per cubic foot (LKR),Size (cu.ft),Wood Species,Wood Grade,Location,Building Type
1645,23.98,kubuk,B,Outdoor,Structural Framing
592,4.69,jak,C,Semi,Door/window
797,27.21,microo,B,Indoor,Door/window
202,11.9,ginisapu,B,Indoor,Door/window
369,18.01,ginisapu,B,Indoor,Roofing Components
813,17.8,teak,C,Semi,Structural Framing
1305,7.57,kempas,B,Semi,Door/window
390,14.8,pinewood,C,Indoor,Roofing Components
223,6.88,mango,C,Indoor,Structural Framing
647,4.57,jak,B,Semi,Door/window
600,13.09,burutha,A,Semi,Structural Framing
500,10.67,burutha,A,Semi,Door/window
750,15.27,mahoganii,A,Semi,Door/window
966,21.5,teak,B,Semi,Door/window
805,7.22,jak,B,Semi,Structural Framing
767,23.2,teak,C,Semi,Door/window
1198,17.5,kempas,B,Semi,Door/window
1365,25.27,kubuk,C,Outdoor,Structural Framing
1728,5.58,kubuk,B,Outdoor,Structural Framing
1200,1.45,teak,A,Semi,Door/window
339,18.74,lunumidella,C,Outdoor,Roofing Components
249,18.95,ginisapu,C,Indoor,Roofing Components
1285,17.35,kempas,B,Semi,Door/window
814,6.41,jak,B,Semi,Structural Framing
344,25.47,lunumidella,C,Outdoor,Roofing Components
500,27.71,lunumidella,A,Outdoor,Roofing Components
3000,21.38,thulan,A,Indoor,Structural Framing
856,12.71,thulan,C,Indoor,Door/window
837,3.59,jak,B,Semi,Structural Framing
850,20.51,jak,A,Semi,Door/window
500,26.23,lunumidella,A,Semi,Roofing Components
272,27.68,mango,C,Indoor,Structural Framing
349,9.25,pinewood,C,Indoor,Roofing Components
424,17.85,mahoganii,C,Semi,Door/window
450,3.54,ginisapu,A,Indoor,Roofing Components
1371,18.13,kubuk,C,Outdoor,Structural Framing
450,12.4,ginisapu,A,Indoor,Roofing Components
332,11.5,mango,B,Indoor,Structural Framing
402,7.92,ginisapu,B,Indoor,Roofing Components
400,28.84,mango,A,Indoor,Structural Framing
141,15.03,ginisapu,C,Indoor,Door/window
423,9.67,lunumidella,B,Indoor,Roofing Components
314,13.11,lunumidella,C,Outdoor,Roofing Components
347,27.27,ginisapu,B,Indoor,Roofing Components
1200,19.34,teak,A,Semi,Door/window
137,6.67,mango,C,Indoor,Door/window
372,4.99,ginisapu,B,Indoor,Roofing Components
1789,2.61,kempas,C,Semi,Structural Framing
1200,23.31,teak,A,Semi,Door/window
200,29.66,mango,A,Indoor,Door/window
850,6.05,jak,A,Semi,Door/window
2304,2.5,kempas,B,Semi,Structural Framing
437,6.96,lunumidella,B,Outdoor,Roofing Components
1200,28.94,kempas,A,Semi,Roofing Components
1200,11.1,kempas,A,Semi,Roofing Components
1069,2.36,teak,B,Semi,Structural Framing
850,25.05,jak,A,Semi,Door/window
538,5.02,burutha,B,Semi,Structural Framing
367,9.24,burutha,C,Semi,Structural Framing
3000,14.12,thulan,A,Indoor,Structural Framing
178,4.7,mango,B,Indoor,Door/window
400,3.07,pinewood,C,Indoor,Roofing Components
700,9.9,jak,B,Semi,Door/window
350,26.46,ginisapu,B,Indoor,Roofing Components
1050,27.81,mahoganii,A,Semi,Structural Framing
750,22.97,mahoganii,A,Semi,Door/window
429,15.07,lunumidella,B,Indoor,Roofing Components
895,3.4,jak,B,Semi,Structural Framing
960,24.64,thulan,C,Indoor,Door/window
422,15.15,lunumidella,B,Outdoor,Roofing Components
1549,24.31,kubuk,B,Outdoor,Structural Framing
151,20.63,ginisapu,C,Indoor,Door/window
401,25.2,ginisapu,B,Indoor,Roofing Components
1500,13.58,kempas,A,Semi,Door/window
341,7.49,lunumidella,C,Outdoor,Roofing Components
1033,22.21,kempas,B,Semi,Roofing Components
289,22.91,ginisapu,C,Indoor,Roofing Components
2477,10.46,kempas,B,Semi,Structural Framing
1200,4.57,kempas,A,Semi,Roofing Components
407,27.29,pinewood,C,Indoor,Roofing Components
1000,28.85,microo,A,Indoor,Door/window
250,25.84,ginisapu,A,Indoor,Door/window
346,7.94,ginisapu,B,Indoor,Roofing Components
2697,7.88,thulan,B,Indoor,Structural Framing
2117,1.24,kempas,B,Semi,Structural Framing
942,4.05,thulan,C,Indoor,Door/window
351,13.07,mango,B,Indoor,Structural Framing
500,22.38,burutha,A,Semi,Door/window
970,6.79,kempas,B,Semi,Roofing Components
880,17.55,kempas,C,Semi,Door/window
289,18.58,lunumidella,C,Outdoor,Roofing Components
850,23.34,jak,A,Semi,Door/window
1500,4.15,kempas,A,Semi,Door/window
974,5.59,kempas,B,Semi,Roofing Components
600,20.98,burutha,A,Semi,Structural Framing
1200,10.04,kempas,A,Semi,Roofing Components
850,27.62,jak,A,Semi,Door/window
836,22.23,teak,C,Semi,Structural Framing
2800,23.09,kempas,A,Semi,Structural Framing
380,4.89,ginisapu,B,Indoor,Roofing Components
127,17.7,mango,C,Indoor,Door/window
750,1.31,mahoganii,A,Semi,Door/window
400,27.49,mango,A,Indoor,Structural Framing
1200,3.69,kempas,A,Semi,Roofing Components
450,20.64,ginisapu,A,Indoor,Roofing Components
380,29.62,pinewood,C,Indoor,Roofing Components
200,19.97,mango,A,Indoor,Door/window
250,20.26,ginisapu,C,Indoor,Roofing Components
2469,27.61,kempas,B,Semi,Structural Framing
731,6.22,teak,C,Semi,Door/window
1793,1.65,microo,B,Indoor,Structural Framing
400,1.42,mango,A,Indoor,Structural Framing
