terrain,distance_km,material_tons,wall_length_m,wall_height_m,fuel_liters,labor_hours,total_cost,vehicle_count
1,38.14,21.09,12.95,3.07,63.36,295.33,164926,1
1,18.54,44.59,10.92,0.84,104.02,465.96,317060,2
1,49.38,26.67,35.26,3.61,83.58,523.1,238145,2
1,24.13,5.12,21.71,3.67,31.76,203.78,66944,1
1,43.4,13.1,40.25,3.29,56.08,396.55,145318,1
0,30.98,41.42,16.66,4.38,98.12,558.41,319721,2
0,12.69,48.38,40.16,2.69,104.64,701.99,382818,2
1,6.34,27.61,35.33,3.28,64.37,502.14,239564,1
1,22.8,29.85,19.25,3.45,75.78,434.46,236433,1
0,31.03,32.87,23.83,0.54,81.45,344.22,234139,2
0,42.28,44.92,46.15,3.24,108.55,753.18,375518,2
0,42.62,44.76,29.49,5.7,108.91,781.16,380708,2
1,5.04,30.68,24.32,3.78,69.72,487.57,251763,1
1,6.74,11.1,39.73,2.0,30.94,267.81,109311,1
0,3.22,28.74,45.5,3.21,58.89,578.46,260042,1
0,30.71,28.84,19.56,2.22,73.58,375.08,219238,1
0,48.09,9.33,6.19,1.26,44.18,97.74,66221,1
1,31.41,41.81,3.5,0.43,103.65,426.19,294450,2
1,2.93,5.14,49.41,1.2,14.7,176.28,61914,1
0,35.19,10.25,38.37,4.73,38.74,467.97,145386,1
1,6.74,46.08,33.28,0.08,98.73,456.38,322671,2
1,32.8,19.49,32.88,0.92,59.58,250.24,147678,1
1,37.21,27.26,6.74,4.57,75.4,334.99,204087,1
1,29.92,44.61,42.69,0.79,107.95,521.27,328252,2
0,1.07,9.7,16.72,1.44,18.67,141.45,77686,1
1,2.55,43.6,28.37,4.63,93.17,695.8,357325,2
1,35.37,22.37,44.25,5.45,67.41,705.99,253187,1
1,16.97,41.9,2.49,4.94,99.33,442.76,298713,2
0,42.03,6.61,0.74,5.7,34.09,74.74,48012,1
0,49.03,33.82,30.6,1.14,91.12,405.87,250583,2
1,34.74,9.19,23.78,5.54,40.46,354.63,117911,1
1,40.19,5.88,12.82,3.92,38.04,152.75,60167,1
0,14.64,1.03,2.03,4.09,4.86,22.57,10624,1
0,42.47,48.06,30.38,2.97,115.99,656.7,372085,2
1,43.7,9.0,18.78,1.75,45.88,158.77,77199,1
1,36.21,16.98,31.03,0.25,59.98,197.45,124786,1
1,20.34,27.47,14.67,2.87,70.15,360.48,209729,1
0,15.83,41.79,14.96,0.65,89.37,435.21,296337,2
1,7.09,5.89,24.89,0.23,18.77,76.91,45091,1
0,31.71,18.84,48.73,3.83,54.31,562.52,207471,1
0,4.0,0.49,19.69,3.11,0.78,129.21,28890,1
0,21.73,18.48,49.42,1.57,48.19,334.74,159715,1
0,4.13,43.19,35.1,5.42,85.58,814.63,378997,2
1,20.5,10.44,2.11,5.69,36.37,131.16,78734,1
1,19.52,27.36,7.57,5.93,70.61,363.08,209931,1
1,44.01,24.82,45.85,1.93,74.29,425.24,209934,1
0,27.6,46.57,0.49,4.23,106.91,465.47,326273,2
0,26.73,43.74,30.13,0.94,99.63,496.92,318807,2
1,4.25,4.32,43.44,0.24,15.85,65.47,34809,1
1,17.2,8.12,7.44,3.94,32.17,138.66,69354,1
0,29.12,33.96,40.26,4.55,85.79,705.47,311821,2
0,15.19,45.07,20.89,5.84,100.76,683.65,362702,2
0,42.71,39.92,32.85,0.0,102.18,404.61,280782,2
1,4.22,43.01,47.15,1.82,90.08,606.7,336553,2
0,32.41,6.45,14.35,4.98,29.61,207.89,74255,1
0,25.1,43.18,35.86,4.04,102.32,733.51,363023,2
0,30.98,19.4,2.35,2.83,54.59,208.35,139302,1
0,31.87,5.35,27.46,2.08,24.06,173.52,61956,1
0,44.18,30.54,23.36,3.79,82.63,484.66,250330,2
