sheet,item,description,quantity,unit,rate,amount,labor_types,vehicles,nlp_entities,total_fuel_liters,estimated_hours,estimated_cost_lkr,labor_hours,employee_count,excavation_volume,site_area,wall_area,floor_area,concrete_volume,steel_quantity,brick_quantity,total_cement,total_sand,building_complexity,labour_roles,Excavators,Bulldozers,Cranes,Dump Trucks,Loaders,Graders,Compactors,Pavers,Rollers,Trenchers,Skid Steers,Backhoe Loaders,Telehandlers,Forklifts,Scrapers,Concrete Mixers,Pile Drivers,Asphalt Mills,Manlifts,Drilling Rigs,vehicles_needed,masons,welders,laborers,fuel_liters,estimated_hours2,estimated_cost
SYN,Item_0,Synthetic entry,99.781956,kg,64780.785136,6463953.452086,"Unskilled,Semi-skilled","Crane,Trailer",,26.618,159.095,27930990.433,6.573,62,397.971,1608.892,878.402,234.538,97.391,1069.155,3763,3133.436,1056.502,1,Tiler_skilled;Driver_unskilled,0,4,4,0,0,3,4,3,4,0,2,3,0,2,4,1,0,4,1,,41.842,11,10,20,26.618,159.095,27930990.433
SYN,Item_1,Synthetic entry,11.541924,pieces,75995.383015,877132.93511,Unskilled,Excavator,,303.75,150.725,17059937.992,143.704,20,450.255,914.046,207.499,1239.752,143.589,603.733,738,4813.699,4208.817,4,Tiler_skilled;ConcreteWorker_skilled;Painter_skilled;Carpenter_skilled,0,0,5,2,3,5,1,5,4,2,4,0,2,1,1,2,5,5,1,,44.598,8,4,12,303.75,150.725,17059937.992
SYN,Item_2,Synthetic entry,30.666996,kg,31483.533255,965505.388397,"Skilled,Semi-skilled",Trailer,,179.482,450.003,19363692.748,480.169,60,243.05,379.868,958.183,501.575,44.713,1777.025,4407,5020.637,4118.373,4,Painter_skilled;ConcreteWorker_skilled,4,4,1,1,5,1,2,5,5,4,3,3,3,1,3,0,5,1,0,,44.853,12,1,35,179.482,450.003,19363692.748
SYN,Item_3,Synthetic entry,487.949058,bag,43231.050047,21094550.146785,Professional,"Crane,Trailer",,264.043,336.967,6449980.734,425.639,40,160.175,1029.6,897.554,1276.976,162.808,686.14,2568,6309.536,4341.943,4,Labourer_unskilled;ConcreteWorker_skilled;Painter_skilled,2,2,1,4,2,0,1,4,2,0,3,1,3,3,1,2,1,2,1,,28.921,16,3,39,264.043,336.967,6449980.734
SYN,Item_4,Synthetic entry,236.984436,bag,161229.113126,38208790.440945,"Skilled,Semi-skilled",Excavator,,566.665,43.713,41499875.868,252.255,98,195.631,540.521,585.442,412.908,185.921,1033.591,1273,4902.444,2266.71,1,Tiler_skilled,2,3,2,0,5,3,3,2,2,5,0,5,3,4,2,3,0,5,5,,55.922,3,5,12,566.665,43.713,41499875.868
SYN,Item_5,Synthetic entry,69.169864,pieces,164262.462679,11362012.203812,Semi-skilled,"Loader,Mixer",,146.717,479.531,43889876.406,218.085,74,299.603,581.448,337.01,627.81,49.738,849.826,3797,5291.431,3707.75,5,Labourer_unskilled;Driver_unskilled,4,1,4,5,0,0,3,0,2,2,4,5,4,3,4,1,4,1,4,,62.771,18,3,22,146.717,479.531,43889876.406
SYN,Item_6,Synthetic entry,449.323964,pieces,34487.957631,15496265.833025,"Skilled,Professional",Large Truck,,464.923,101.712,17540005.859,110.978,80,64.33,1084.627,524.523,982.4,40.825,1921.427,3390,4583.887,551.349,5,Labourer_unskilled;ConcreteWorker_skilled,4,2,1,0,3,2,4,3,1,1,5,2,2,0,4,5,4,3,4,,51.82,19,3,22,464.923,101.712,17540005.859
SYN,Item_7,Synthetic entry,361.989439,kg,84944.728766,30749094.712012,Semi-skilled,"Crane,Trailer",,666.172,50.188,13667584.384,331.096,93,305.206,539.892,713.679,366.366,60.908,1102.661,1884,7865.449,711.798,1,Tiler_skilled,1,0,5,4,5,1,1,1,0,1,2,4,5,2,4,0,5,5,0,,50.751,18,5,15,666.172,50.188,13667584.384
SYN,Item_8,Synthetic entry,266.721245,units,144513.750301,38544887.399902,Skilled,None,,95.619,370.646,9763677.299,166.806,27,294.082,1410.677,680.42,704.715,75.138,1526.061,2203,5752.946,2078.943,2,Painter_skilled;Mason_skilled;Tiler_skilled;Carpenter_skilled,1,2,4,3,3,5,3,0,1,5,3,0,5,1,3,0,4,4,3,,51.366,6,8,9,95.619,370.646,9763677.299
SYN,Item_9,Synthetic entry,87.934149,bag,150322.755717,13218503.599309,Semi-skilled,"Loader,Mixer",,209.273,229.563,40799912.888,404.519,68,388.887,647.268,810.769,918.116,159.9,771.576,4351,1584.293,930.092,5,Welder_skilled;Driver_unskilled,3,1,5,3,1,4,2,2,1,3,5,1,2,2,2,1,3,2,0,,41.9,9,10,30,209.273,229.563,40799912.888
