boq_text,machinery,vehicles,skilled,unskilled,labour_roles
"Item_0 Synthetic entry qty:99.781956 kg vehicles:Crane,Trailer labor:Unskilled,Semi-skilled",Crane;Trailer,Crane;Trailer,21,20,Tiler_skilled;Driver_unskilled
Item_1 Synthetic entry qty:11.541924 pieces vehicles:Excavator labor:Unskilled,Excavator,Excavator,12,12,Tiler_skilled;ConcreteWorker_skilled;Painter_skilled;Carpenter_skilled
"Item_2 Synthetic entry qty:30.666996 kg vehicles:Trailer labor:Skilled,Semi-skilled",Trailer,Trailer,13,35,Painter_skilled;ConcreteWorker_skilled
"Item_3 Synthetic entry qty:487.949058 bag vehicles:Crane,Trailer labor:Professional",Crane;Trailer,Crane;Trailer,19,39,Labourer_unskilled;ConcreteWorker_skilled;Painter_skilled
"Item_4 Synthetic entry qty:236.984436 bag vehicles:Excavator labor:Skilled,Semi-skilled",Excavator,Excavator,8,12,Tiler_skilled
"Item_5 Synthetic entry qty:69.169864 pieces vehicles:Loader,Mixer labor:Semi-skilled",Loader;Mixer,Loader;Mixer,21,22,Labourer_unskilled;Driver_unskilled
"Item_6 Synthetic entry qty:449.323964 pieces vehicles:Large Truck labor:Skilled,Professional",Large Truck,Large Truck,22,22,Labourer_unskilled;ConcreteWorker_skilled
"Item_7 Synthetic entry qty:361.989439 kg vehicles:Crane,Trailer labor:Semi-skilled",Crane;Trailer,Crane;Trailer,23,15,Tiler_skilled
Item_8 Synthetic entry qty:266.721245 units vehicles:None labor:Skilled,,,14,9,Painter_skilled;Mason_skilled;Tiler_skilled;Carpenter_skilled
"Item_9 Synthetic entry qty:87.934149 bag vehicles:Loader,Mixer labor:Semi-skilled",Loader;Mixer,Loader;Mixer,19,30,Welder_skilled;Driver_unskilled
Item_10 Synthetic entry qty:39.75573 units vehicles:Excavator labor:Professional,Excavator,Excavator,19,41,Mason_skilled;Painter_skilled;Tiler_skilled
"Item_11 Synthetic entry qty:433.034629 bag vehicles:Crane,Trailer labor:Unskilled",Crane;Trailer,Crane;Trailer,24,33,Carpenter_skilled
Item_12 Synthetic entry qty:275.278803 m3 vehicles:Trailer labor:Skilled,Trailer,Trailer,14,32,Labourer_unskilled;Mason_skilled;ConcreteWorker_skilled;Painter_skilled
"Item_13 Synthetic entry qty:456.270306 m3 vehicles:Excavator labor:Skilled,Semi-skilled",Excavator,Excavator,23,22,Driver_unskilled;Tiler_skilled
Item_14 Synthetic entry qty:175.754934 pieces vehicles:Crane labor:Professional,Crane,Crane,29,41,Carpenter_skilled;Driver_unskilled
Item_15 Synthetic entry qty:145.663763 kg vehicles:Trailer labor:Skilled,Trailer,Trailer,10,7,Labourer_unskilled
"Item_16 Synthetic entry qty:330.173142 m3 vehicles:Large Truck labor:Skilled,Professional",Large Truck,Large Truck,5,31,Painter_skilled
"Item_17 Synthetic entry qty:341.695005 kg vehicles:Trailer labor:Skilled,Professional",Trailer,Trailer,21,41,Labourer_unskilled;Driver_unskilled
"Item_18 Synthetic entry qty:76.182056 bag vehicles:Trailer labor:Skilled,Semi-skilled",Trailer,Trailer,13,21,Labourer_unskilled;Mason_skilled;ConcreteWorker_skilled;Carpenter_skilled
Item_19 Synthetic entry qty:227.393667 units vehicles:Excavator labor:Unskilled,Excavator,Excavator,21,18,Carpenter_skilled;Tiler_skilled
"Item_20 Synthetic entry qty:424.257041 pieces vehicles:Crane,Trailer labor:Professional",Crane;Trailer,Crane;Trailer,22,24,Driver_unskilled;Painter_skilled;Carpenter_skilled
"Item_21 Synthetic entry qty:309.996265 m3 vehicles:Crane,Trailer labor:Skilled,Professional",Crane;Trailer,Crane;Trailer,14,10,Driver_unskilled
Item_22 Synthetic entry qty:128.916155 pieces vehicles:Large Truck labor:Professional,Large Truck,Large Truck,21,30,Mason_skilled;Carpenter_skilled
"Item_23 Synthetic entry qty:218.487078 kg vehicles:Trailer labor:Unskilled,Semi-skilled",Trailer,Trailer,24,46,Painter_skilled;Labourer_unskilled;Driver_unskilled
Item_24 Synthetic entry qty:250.167298 pieces vehicles:Crane labor:Unskilled,Crane,Crane,9,34,Carpenter_skilled;Driver_unskilled
"Item_25 Synthetic entry qty:400.563372 m3 vehicles:Trailer labor:Skilled,Unskilled",Trailer,Trailer,21,41,Labourer_unskilled;Painter_skilled
"Item_26 Synthetic entry qty:278.918981 bag vehicles:Trailer labor:Unskilled,Semi-skilled",Trailer,Trailer,11,14,Tiler_skilled;Painter_skilled
Item_27 Synthetic entry qty:286.8167 kg vehicles:Large Truck labor:Professional,Large Truck,Large Truck,15,13,Driver_unskilled;Tiler_skilled;ConcreteWorker_skilled
"Item_28 Synthetic entry qty:112.616381 kg vehicles:Loader,Mixer labor:Unskilled",Loader;Mixer,Loader;Mixer,16,7,Carpenter_skilled;Welder_skilled;ConcreteWorker_skilled;Mason_skilled
"Item_29 Synthetic entry qty:332.104183 pieces vehicles:Loader,Mixer labor:Unskilled",Loader;Mixer,Loader;Mixer,10,39,ConcreteWorker_skilled;Carpenter_skilled;Tiler_skilled
Item_30 Synthetic entry qty:295.291093 m3 vehicles:Trailer labor:Professional,Trailer,Trailer,21,29,Labourer_unskilled
Item_31 Synthetic entry qty:120.129687 units vehicles:Trailer labor:Semi-skilled,Trailer,Trailer,26,46,Labourer_unskilled;Carpenter_skilled;Mason_skilled;ConcreteWorker_skilled
Item_32 Synthetic entry qty:151.605962 m3 vehicles:Excavator labor:Professional,Excavator,Excavator,22,39,Tiler_skilled;Carpenter_skilled;Driver_unskilled
"Item_33 Synthetic entry qty:247.171303 pieces vehicles:Loader,Mixer labor:Skilled",Loader;Mixer,Loader;Mixer,5,46,Driver_unskilled
"Item_34 Synthetic entry qty:104.784634 bag vehicles:Excavator labor:Skilled,Unskilled",Excavator,Excavator,11,35,Carpenter_skilled
"Item_35 Synthetic entry qty:178.429387 bag vehicles:Excavator labor:Skilled,Semi-skilled",Excavator,Excavator,6,38,Driver_unskilled;Carpenter_skilled
"Item_36 Synthetic entry qty:224.950674 units vehicles:Crane labor:Unskilled,Semi-skilled",Crane,Crane,17,33,Mason_skilled;Labourer_unskilled;Painter_skilled;Welder_skilled
Item_37 Synthetic entry qty:179.533506 kg vehicles:Large Truck labor:Skilled,Large Truck,Large Truck,13,11,Tiler_skilled;Driver_unskilled;Welder_skilled
Item_38 Synthetic entry qty:329.094516 kg vehicles:Large Truck labor:Professional,Large Truck,Large Truck,28,23,Driver_unskilled;Carpenter_skilled;Tiler_skilled
Item_39 Synthetic entry qty:428.506498 m3 vehicles:Excavator labor:Semi-skilled,Excavator,Excavator,16,9,Carpenter_skilled;Mason_skilled;Labourer_unskilled
"Item_40 Synthetic entry qty:444.975674 m3 vehicles:Loader,Mixer labor:Skilled,Professional",Loader;Mixer,Loader;Mixer,13,27,ConcreteWorker_skilled;Mason_skilled;Painter_skilled
Item_41 Synthetic entry qty:235.921122 bag vehicles:Crane labor:Professional,Crane,Crane,15,17,Painter_skilled
Item_42 Synthetic entry qty:270.380321 kg vehicles:Trailer labor:Skilled,Trailer,Trailer,20,13,Labourer_unskilled;Driver_unskilled
Item_43 Synthetic entry qty:120.500111 kg vehicles:Excavator labor:Semi-skilled,Excavator,Excavator,7,40,Painter_skilled;Tiler_skilled
"Item_44 Synthetic entry qty:171.634013 units vehicles:Loader,Mixer labor:Unskilled,Semi-skilled",Loader;Mixer,Loader;Mixer,21,11,Tiler_skilled;Mason_skilled;Painter_skilled
"Item_45 Synthetic entry qty:304.917336 m3 vehicles:Loader,Mixer labor:Skilled",Loader;Mixer,Loader;Mixer,9,32,ConcreteWorker_skilled;Welder_skilled;Tiler_skilled;Carpenter_skilled
"Item_46 Synthetic entry qty:287.517139 units vehicles:Crane labor:Skilled,Unskilled",Crane,Crane,20,35,Painter_skilled;Carpenter_skilled
Item_47 Synthetic entry qty:383.459113 m3 vehicles:None labor:Professional,,,11,37,Tiler_skilled;Welder_skilled;Labourer_unskilled;Carpenter_skilled
"Item_48 Synthetic entry qty:209.902737 kg vehicles:Crane,Trailer labor:Skilled",Crane;Trailer,Crane;Trailer,23,5,Mason_skilled;Labourer_unskilled;Tiler_skilled
"Item_49 Synthetic entry qty:308.800761 units vehicles:Crane,Trailer labor:Skilled,Unskilled",Crane;Trailer,Crane;Trailer,19,33,Labourer_unskilled;Welder_skilled
Item_50 Synthetic entry qty:131.766114 bag vehicles:None labor:Semi-skilled,,,19,47,Labourer_unskilled;ConcreteWorker_skilled;Painter_skilled
"Item_51 Synthetic entry qty:425.677202 kg vehicles:Crane labor:Unskilled,Semi-skilled",Crane,Crane,21,19,Carpenter_skilled;Driver_unskilled;Welder_skilled
"Item_52 Synthetic entry qty:294.844613 m3 vehicles:Crane,Trailer labor:Semi-skilled",Crane;Trailer,Crane;Trailer,11,38,Tiler_skilled;Welder_skilled;Carpenter_skilled
"Item_53 Synthetic entry qty:252.346428 pieces vehicles:Crane,Trailer labor:Unskilled",Crane;Trailer,Crane;Trailer,16,11,Tiler_skilled
"Item_54 Synthetic entry qty:252.828099 bag vehicles:Trailer labor:Skilled,Unskilled",Trailer,Trailer,21,34,Welder_skilled;Mason_skilled
"Item_55 Synthetic entry qty:58.07035 kg vehicles:Crane labor:Skilled,Professional",Crane,Crane,12,15,Carpenter_skilled;Tiler_skilled;Mason_skilled;Driver_unskilled
"Item_56 Synthetic entry qty:19.626254 kg vehicles:Loader,Mixer labor:Professional",Loader;Mixer,Loader;Mixer,21,37,Tiler_skilled
"Item_57 Synthetic entry qty:348.595898 bag vehicles:Excavator labor:Unskilled,Semi-skilled",Excavator,Excavator,19,7,Labourer_unskilled;Tiler_skilled
"Item_58 Synthetic entry qty:107.290201 m3 vehicles:Excavator labor:Skilled,Unskilled",Excavator,Excavator,21,15,Painter_skilled
"Item_59 Synthetic entry qty:423.777139 pieces vehicles:Crane labor:Skilled,Unskilled",Crane,Crane,25,18,ConcreteWorker_skilled;Driver_unskilled;Mason_skilled
Item_60 Synthetic entry qty:201.278755 units vehicles:Large Truck labor:Semi-skilled,Large Truck,Large Truck,11,20,ConcreteWorker_skilled
"Item_61 Synthetic entry qty:362.78671 kg vehicles:Crane,Trailer labor:Skilled,Unskilled",Crane;Trailer,Crane;Trailer,6,40,Welder_skilled;Driver_unskilled;Labourer_unskilled;ConcreteWorker_skilled
"Item_62 Synthetic entry qty:131.663851 units vehicles:Crane,Trailer labor:Unskilled,Semi-skilled",Crane;Trailer,Crane;Trailer,15,46,Carpenter_skilled;Mason_skilled
Item_63 Synthetic entry qty:264.812144 bag vehicles:Trailer labor:Professional,Trailer,Trailer,11,27,Welder_skilled;Carpenter_skilled;Mason_skilled;Driver_unskilled
Item_64 Synthetic entry qty:363.6296 bag vehicles:Crane labor:Professional,Crane,Crane,11,24,Tiler_skilled;ConcreteWorker_skilled
"Item_65 Synthetic entry qty:324.13462 bag vehicles:Crane,Trailer labor:Unskilled",Crane;Trailer,Crane;Trailer,23,34,Welder_skilled;Tiler_skilled;ConcreteWorker_skilled;Painter_skilled
Item_66 Synthetic entry qty:406.218736 pieces vehicles:None labor:Skilled,,,8,41,Labourer_unskilled;Tiler_skilled;Painter_skilled
"Item_67 Synthetic entry qty:455.797482 m3 vehicles:Loader,Mixer labor:Semi-skilled",Loader;Mixer,Loader;Mixer,25,13,Welder_skilled;Carpenter_skilled;Tiler_skilled;Driver_unskilled
Item_68 Synthetic entry qty:143.991605 kg vehicles:Large Truck labor:Semi-skilled,Large Truck,Large Truck,18,34,Welder_skilled;ConcreteWorker_skilled;Driver_unskilled
Item_69 Synthetic entry qty:83.287368 units vehicles:Trailer labor:Semi-skilled,Trailer,Trailer,28,41,Painter_skilled;Welder_skilled;Labourer_unskilled
"Item_70 Synthetic entry qty:480.513418 pieces vehicles:Loader,Mixer labor:Unskilled,Semi-skilled",Loader;Mixer,Loader;Mixer,24,41,Tiler_skilled;Labourer_unskilled
Item_71 Synthetic entry qty:461.3839 bag vehicles:Excavator labor:Semi-skilled,Excavator,Excavator,9,20,Carpenter_skilled;Tiler_skilled;Painter_skilled;Welder_skilled
