WallSize_sqft,PricePerSqft_LKR,Location,PaintBrand,PaintGrade
142,76,wood,Nippon Water Base,Premium
237,50,wood,Nippolac Water Based,Economy
219,85,outdoor,Nippon Flex 100,Standard
122,119,floor,Robbialac,Premium
367,41,indoor,Dulux,Economy
421,76,outdoor,Multilac Nano Shield 900,Standard
371,71,outdoor,Dulux Weathershield,Economy
310,60,indoor,JAT,Standard
391,76,outdoor,Dulux Aquatech,Standard
122,65,indoor,Robbialac,Premium
138,104,floor,Nippon Epoxy,Premium
117,99,outdoor,Nippon Durafresh,Premium
307,77,wood,Nippon Water Base,Premium
359,114,floor,Nippon Water Based,Premium
291,98,floor,Nippon Floor Paint,Standard
103,68,wood,Nippon Water Base,Standard
232,98,outdoor,Causeway Weatherproof,Premium
169,104,floor,Robbialac,Premium
516,76,wood,Robbialac Water Base,Premium
422,108,floor,Causeway,Premium
203,79,wood,JAT Water Base,Premium
99,82,outdoor,Nippon Durafresh,Standard
249,83,floor,Robbialac,Economy
85,73,wood,Nippon Water Base,Premium
287,59,indoor,Asian Paints Causeway,Standard
442,67,indoor,Dulux,Premium
180,85,floor,Robbialac,Economy
196,56,wood,Robbialac Water Base,Economy
348,68,outdoor,Multilac Weather Guard,Economy
384,75,outdoor,Dulux Weathershield,Economy
358,74,wood,Nippon Water Base,Premium
302,87,floor,Nippon Water Based,Standard
385,101,floor,Causeway,Premium
200,78,outdoor,WAPP Waterproofing Paint,Standard
361,51,wood,Dulux Water Base,Economy
233,92,outdoor,Nippon Atom 2 in 1,Premium
463,79,outdoor,WAPP Waterproofing Paint,Standard
317,67,indoor,Robbialac,Premium
268,59,indoor,Robbialac,Standard
363,75,wood,Robbialac Water Base,Premium
564,82,outdoor,Dulux Superkote,Standard
309,56,indoor,Robbialac,Standard
213,75,floor,Lankem Robbialac,Economy
371,40,indoor,JAT,Economy
356,78,wood,Dulux Water Base,Premium
453,99,floor,Dulux QD Floor Paints,Standard
438,120,floor,Lankem Robbialac,Premium
420,70,wood,Robbialac Water Base,Standard
599,77,outdoor,Dulux Weathershield,Standard
115,120,floor,Causeway,Premium
102,75,floor,Nippon Water Based,Economy
355,71,floor,Nippon Water Based,Economy
193,82,outdoor,MULTILAC 3IN1,Standard
505,101,floor,Lankem Robbialac,Premium
155,50,indoor,Robbialac,Economy
507,43,indoor,Robbialac,Economy
600,92,floor,Lankem Robbialac,Standard
457,79,outdoor,Nippon Atom 2 in 1,Standard
82,106,floor,Lankem Robbialac,Premium
441,72,wood,Nippolac Water Based,Premium
410,99,floor,Nippon Epoxy,Standard
570,81,outdoor,Nippon Flex 400 H/D Elastomeric,Standard
586,90,floor,Nippon Epoxy,Standard
232,67,indoor,Dulux,Premium
526,57,wood,Dulux Water Base,Economy
87,69,indoor,Asian Paints Causeway,Premium
345,81,floor,Dulux QD Floor Paints,Economy
139,113,floor,Robbialac,Premium
173,67,indoor,Dulux,Premium
265,60,indoor,Multilac,Standard
408,68,outdoor,Nippon Atom 2 in 1,Economy
374,78,wood,Dulux Water Base,Premium
526,62,wood,Nippon Water Base,Standard
488,66,outdoor,Causeway SmartCare Aqua Safe,Economy
