WallSize_sqft,PricePerSqft_LKR,Location,Brand
419,742,Indoor,ASIANPAINT Skim Coat
587,855,Outdoor,INSEE Skim cement Coat
344,835,Outdoor,Tokyo plaster master
564,600,Indoor,NIPPON skim coat
728,950,Outdoor,Tokyo plaster master
568,921,Indoor,SF Skim Coat
137,734,Indoor,NIPPOFLEX skim coat
187,910,Outdoor,Tokyo plaster master
741,946,Indoor,SF Skim Coat
116,936,Indoor,SF Skim Coat
541,902,Outdoor,INSEE Skim cement Coat
349,999,Outdoor,INSEE Skim cement Coat
221,902,Outdoor,INSEE Skim cement Coat
690,598,Indoor,ASIANPAINT Skim Coat
553,893,Outdoor,Tokyo plaster master
457,980,Outdoor,Tokyo plaster master
788,758,Indoor,NIPPON skim coat
196,985,Outdoor,Tokyo plaster master
94,886,Indoor,NIPPON skim coat
770,1000,Outdoor,INSEE Skim cement Coat
409,965,Outdoor,INSEE Skim cement Coat
540,909,Indoor,INSEE Skim Coat
696,907,Outdoor,INSEE Skim cement Coat
96,914,Outdoor,INSEE Skim cement Coat
794,1000,Indoor,INSEE Skim Coat
561,971,Indoor,Swisstek Skim Coat
320,838,Outdoor,INSEE Skim cement Coat
290,1000,Outdoor,Tokyo plaster master
735,699,Indoor,NIPPON skim coat
230,919,Outdoor,INSEE Skim cement Coat
120,863,Indoor,Swisstek Skim Coat
334,890,Outdoor,INSEE Skim cement Coat
197,748,Indoor,NIPPOFLEX skim coat
394,919,Outdoor,INSEE Skim cement Coat
219,947,Outdoor,Tokyo plaster master
176,754,Indoor,ASIANPAINT Skim Coat
625,899,Outdoor,Tokyo plaster master
345,948,Indoor,INSEE Skim Coat
493,956,Outdoor,INSEE Skim cement Coat
227,982,Outdoor,Tokyo plaster master
714,655,Indoor,ASIANPAINT Skim Coat
368,831,Indoor,NIPPON skim coat
606,873,Indoor,Swisstek Skim Coat
105,815,Indoor,Multilac Skim Coat
682,905,Outdoor,Tokyo plaster master
438,819,Indoor,Multilac Skim Coat
268,828,Indoor,SF Skim Coat
622,862,Outdoor,INSEE Skim cement Coat
155,777,Indoor,ASIANPAINT Skim Coat
373,835,Outdoor,Tokyo plaster master
109,1042,Outdoor,INSEE Skim cement Coat
282,688,Indoor,NIPPON skim coat
419,991,Outdoor,INSEE Skim cement Coat
193,943,Outdoor,INSEE Skim cement Coat
670,886,Outdoor,Tokyo plaster master
247,961,Outdoor,Tokyo plaster master
236,943,Outdoor,Tokyo plaster master
87,991,Indoor,INSEE Skim Coat
565,960,Outdoor,Tokyo plaster master
175,916,Indoor,Swisstek Skim Coat
141,919,Outdoor,Tokyo plaster master
108,868,Indoor,NIPPOFLEX skim coat
566,626,Indoor,Multilac Skim Coat
753,687,Indoor,NIPPOFLEX skim coat
392,964,Outdoor,INSEE Skim cement Coat
621,946,Indoor,INSEE Skim Coat
106,998,Indoor,Swisstek Skim Coat
110,915,Outdoor,Tokyo plaster master
80,892,Indoor,Swisstek Skim Coat
125,884,Indoor,Swisstek Skim Coat
200,712,Indoor,Multilac Skim Coat
413,682,Indoor,ASIANPAINT Skim Coat
504,770,Indoor,ASIANPAINT Skim Coat
373,969,Outdoor,Tokyo plaster master
130,938,Indoor,INSEE Skim Coat
696,972,Indoor,Swisstek Skim Coat
797,744,Indoor,ASIANPAINT Skim Coat
381,788,Indoor,ASIANPAINT Skim Coat
590,935,Outdoor,Tokyo plaster master
531,688,Indoor,ASIANPAINT Skim Coat
668,894,Outdoor,INSEE Skim cement Coat
388,916,Outdoor,INSEE Skim cement Coat
720,704,Indoor,ASIANPAINT Skim Coat
518,894,Indoor,INSEE Skim Coat
512,900,Outdoor,Tokyo plaster master
222,954,Outdoor,Tokyo plaster master
718,900,Outdoor,INSEE Skim cement Coat
544,868,Outdoor,INSEE Skim cement Coat
203,886,Outdoor,Tokyo plaster master
435,894,Outdoor,Tokyo plaster master
226,746,Indoor,NIPPON skim coat
558,913,Indoor,Swisstek Skim Coat
479,978,Outdoor,Tokyo plaster master
501,878,Outdoor,INSEE Skim cement Coat
768,895,Outdoor,INSEE Skim cement Coat
245,871,Outdoor,Tokyo plaster master
587,596,Indoor,NIPPOFLEX skim coat
777,962,Indoor,SF Skim Coat
670,618,Indoor,Multilac Skim Coat
355,843,Indoor,Multilac Skim Coat
663,884,Outdoor,INSEE Skim cement Coat
335,975,Outdoor,Tokyo plaster master
104,845,Indoor,Multilac Skim Coat
305,993,Indoor,Swisstek Skim Coat
232,671,Indoor,NIPPOFLEX skim coat
738,950,Outdoor,Tokyo plaster master
221,874,Indoor,SF Skim Coat
89,726,Indoor,NIPPON skim coat
439,960,Outdoor,Tokyo plaster master
279,650,Indoor,NIPPOFLEX skim coat
548,934,Outdoor,Tokyo plaster master
287,980,Outdoor,Tokyo plaster master
575,868,Indoor,SF Skim Coat
443,935,Outdoor,INSEE Skim cement Coat
